Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
ID1,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
ID2,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
ID3,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
ID4,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
ID5,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
ID6,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
ID7,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
ID8,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
ID9,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
ID10,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
ID11,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
ID12,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
ID13,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
ID14,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
ID15,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
ID16,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
ID17,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
ID18,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
ID19,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
ID20,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
ID21,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
ID22,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
ID23,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
ID24,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
ID25,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
ID26,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
ID27,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
ID28,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
ID29,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
ID30,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
ID31,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
ID32,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
ID33,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
ID34,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
ID35,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
ID36,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y
ID37,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N
ID38,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
ID39,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
ID40,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
ID41,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
ID42,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
ID43,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y
ID44,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
ID45,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
ID46,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y
ID47,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
ID48,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
ID49,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
ID50,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
ID51,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
ID52,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
ID53,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
ID54,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
ID55,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
ID56,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
ID57,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
ID58,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
ID59,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
ID60,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
ID61,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
ID62,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
ID63,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
ID64,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N
ID65,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
ID66,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
ID67,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
